episode,global_step,post_warmup_eligible,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,robust_operating_region_violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,practically_significant,eligible
95.0,28500.0,1.0,1.0,-4.760832434926235,6719.068590523573,0.02867148271377218,0.08528921926739941,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,30000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,30000.0,1.0,0.25,-4.781973599421566,6723.297844256124,0.007530318218440968,0.022398856144428114,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,30000.0,1.0,0.5,-4.7743999638506365,6721.782893981308,0.015103953789370905,0.04492665393606666,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,30000.0,1.0,0.75,-4.766783156437147,6720.259301229054,0.022720761202860373,0.06758296814661424,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,30000.0,1.0,1.0,-4.759122298981288,6718.726890059501,0.030381618658719134,0.0903704150583729,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,31500.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,31500.0,1.0,0.25,-4.7815023757848,6723.203765837337,0.008001541855207073,0.02379783248722973,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,31500.0,1.0,0.5,-4.773474456575492,6721.598127673876,0.016029461064515083,0.04767418834807646,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,31500.0,1.0,0.75,-4.765420657453497,6719.987308010797,0.024083260186510635,0.07162759477458555,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,31500.0,1.0,1.0,-4.757341131533706,6718.371337643878,0.03216278610630141,0.09565759382366132,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,33000.0,1.0,0.0,-4.789503917640007,6724.804123457732,0.0,0.0,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,33000.0,1.0,0.25,-4.782529880011761,6723.409645348595,0.006974037628246776,0.02073633794436516,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,33000.0,1.0,0.5,-4.775501398433747,6722.004274184254,0.014002519206260722,0.04163465912280224,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,33000.0,1.0,0.75,-4.7684186317465285,6720.5880413555815,0.02108528589347891,0.06269449674294623,0.0,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
