episode,policy_scale,return_per_step,economic_cost_mean,incremental_return_per_step,economic_cost_reduction_percent,violation_rate,rpi_violation_rate,qp_infeasible_rate,disturbance_bound_exceedance_rate,intervention_rate,mapping_rate,safe,positive_increment,eligible
20.0,0.25,-0.9077891777932933,6392.118738256861,-6.988981228817082e-05,-0.00012266273901863332,0.0,0.0,0.0,0.0,0.0,0.9233333333333333,1.0,0.0,0.0
20.0,0.5,-0.9079241079063949,6392.127777418973,-0.00020481992538978755,-0.00026407396070218846,0.0,0.0,0.0,0.0,0.0,0.9231666666666666,1.0,0.0,0.0
20.0,0.75,-0.9081176112366683,6392.137446965735,-0.00039832325566324656,-0.00041534709905815647,0.0,0.0,0.0,0.0,0.0,0.919,1.0,0.0,0.0
20.0,1.0,-0.9083790559442789,6392.149216918809,-0.0006597679632738274,-0.0005994795908512835,0.0,0.0,0.0,0.0,0.0,0.9198333333333334,1.0,0.0,0.0
5.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,0.25,-0.907761770341677,6392.111093472381,-4.2482360671947106e-05,-3.0655573844696623e-06,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
5.0,0.5,-0.9078872696545025,6392.111289556975,-0.00016798167349740822,-6.133160513151568e-06,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
5.0,0.75,-0.908095831685856,6392.11148576922,-0.0003765437048508513,-9.202760653797429e-06,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
5.0,1.0,-0.9083874183298697,6392.111682106039,-0.0006681303488645929,-1.2274309657523091e-05,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
115.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115.0,0.25,-0.9079681865448338,6392.157878452687,-0.00024889856382870335,-0.0007349830891096854,0.0,0.0,0.0,0.0,0.0,0.934,1.0,0.0,0.0
115.0,0.5,-0.9081709404649826,6392.18996896969,-0.0004516524839774938,-0.0012370162596438293,0.0,0.0,0.0,0.0,0.0,0.9383333333333334,1.0,0.0,0.0
115.0,0.75,-0.9082632451722765,6392.193776273376,-0.0005439571912714269,-0.001296578800826704,0.0,0.0,0.0,0.0,0.0,0.9561666666666667,1.0,0.0,0.0
115.0,1.0,-0.9084444576635516,6392.209582751624,-0.0007251696825465448,-0.0015438598399316336,0.0,0.0,0.0,0.0,0.0,0.9603333333333334,1.0,0.0,0.0
165.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
165.0,0.25,-0.908087855485646,6392.182687152858,-0.00036856750464087096,-0.0011230974470850764,0.0,0.0,0.0,0.0,0.0,0.5865,1.0,0.0,0.0
165.0,0.5,-0.9083850540820831,6392.236318853041,-0.0006657661010780469,-0.0019621270109067878,0.0,0.0,0.0,0.0,0.0,0.8346666666666667,1.0,0.0,0.0
165.0,0.75,-0.908527589383505,6392.253814666571,-0.000808301402499878,-0.002235836491402868,0.0,0.0,0.0,0.0,0.0,0.9503333333333334,1.0,0.0,0.0
165.0,1.0,-0.9087047871749862,6392.272742299415,-0.0009854991939810542,-0.0025319457602692415,0.0,0.0,0.0,0.0,0.0,0.9645,1.0,0.0,0.0
1.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.25,-0.9077834523253899,6392.111023315963,-6.416434438483165e-05,-1.9680104425796094e-06,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
1.0,0.5,-0.9079746825547274,6392.111150191503,-0.00025539457372225627,-3.952887450659755e-06,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
1.0,0.75,-0.90829296416735,6392.111278119087,-0.0005736761863448514,-5.9542229396818336e-06,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
1.0,1.0,-0.9087382833760755,6392.111407073345,-0.0010189953950704433,-7.97162000860466e-06,0.0,0.0,0.0,0.0,0.0,0.9994999999999999,1.0,0.0,0.0
170.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170.0,0.25,-0.908207081162096,6392.20636895647,-0.00048779318109093417,-0.0014935823149414978,0.0,0.0,0.0,0.0,0.0,0.5555,1.0,0.0,0.0
170.0,0.5,-0.9085219850441945,6392.262588229717,-0.0008026970631893615,-0.0023730926073653874,0.0,0.0,0.0,0.0,0.0,0.9235000000000001,1.0,0.0,0.0
170.0,0.75,-0.9086158010435161,6392.26776107764,-0.0008965130625110396,-0.002454018110784887,0.0,0.0,0.0,0.0,0.0,0.9716666666666667,1.0,0.0,0.0
170.0,1.0,-0.9087499216631024,6392.272685629858,-0.001030633682097326,-0.0025310592056078207,0.0,0.0,0.0,0.0,0.0,0.9833333333333334,1.0,0.0,0.0
190.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
190.0,0.25,-0.9082642905085403,6392.218453017272,-0.0005450025275351988,-0.001682628797320109,0.0,0.0,0.0,0.0,0.0,0.4383333333333333,1.0,0.0,0.0
190.0,0.5,-0.9085325620222885,6392.266859834631,-0.0008132740412833961,-0.0024399188089487952,0.0,0.0,0.0,0.0,0.0,0.9161666666666667,1.0,0.0,0.0
190.0,0.75,-0.9086178078716008,6392.271735535069,-0.0008985198905957503,-0.0025161956526401543,0.0,0.0,0.0,0.0,0.0,0.9668333333333333,1.0,0.0,0.0
190.0,1.0,-0.9087548995988799,6392.278522456975,-0.0010356116178747987,-0.0026223721882996137,0.0,0.0,0.0,0.0,0.0,0.9763333333333334,1.0,0.0,0.0
185.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
185.0,0.25,-0.9082138960899263,6392.207865058138,-0.0004946081089212129,-0.0015169877547361512,0.0,0.0,0.0,0.0,0.0,0.4871666666666667,1.0,0.0,0.0
185.0,0.5,-0.9085411469236059,6392.26681913515,-0.0008218589426007838,-0.0024392820947067677,0.0,0.0,0.0,0.0,0.0,0.8781666666666667,1.0,0.0,0.0
185.0,0.75,-0.9086555645335544,6392.2768569438595,-0.0009362765525493533,-0.00259631642765231,0.0,0.0,0.0,0.0,0.0,0.963,1.0,0.0,0.0
185.0,1.0,-0.9088062803264689,6392.286033208954,-0.001086992345463833,-0.0027398725273767477,0.0,0.0,0.0,0.0,0.0,0.9731666666666666,1.0,0.0,0.0
175.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
175.0,0.25,-0.9082284884386492,6392.210340336315,-0.0005092004576441322,-0.001555711710203386,0.0,0.0,0.0,0.0,0.0,0.5621666666666666,1.0,0.0,0.0
175.0,0.5,-0.9084972254558575,6392.254989463206,-0.0007779374748524415,-0.002254215343920001,0.0,0.0,0.0,0.0,0.0,0.9245,1.0,0.0,0.0
175.0,0.75,-0.9086506190788173,6392.265856231449,-0.0009313310978121825,-0.0024242181554740075,0.0,0.0,0.0,0.0,0.0,0.9691666666666667,1.0,0.0,0.0
175.0,1.0,-0.9088528665482029,6392.274699311455,-0.0011335785671977572,-0.002562561812957766,0.0,0.0,0.0,0.0,0.0,0.9805,1.0,0.0,0.0
200.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200.0,0.25,-0.9080012894762101,6392.1649795802805,-0.0002820014952049643,-0.0008460751478522254,0.0,0.0,0.0,0.0,0.0,0.8025000000000001,1.0,0.0,0.0
200.0,0.5,-0.9081565980872446,6392.179279148918,-0.00043731010623948574,-0.0010697816646297903,0.0,0.0,0.0,0.0,0.0,0.8858333333333333,1.0,0.0,0.0
200.0,0.75,-0.9084737784299323,6392.2068331418095,-0.0007544904489271698,-0.001500844162345882,0.0,0.0,0.0,0.0,0.0,0.9119999999999999,1.0,0.0,0.0
200.0,1.0,-0.908877724849411,6392.22938714231,-0.0011584368684058877,-0.0018536853577185261,0.0,0.0,0.0,0.0,0.0,0.926,1.0,0.0,0.0
180.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
180.0,0.25,-0.9083674857961065,6392.238066258417,-0.0006481978151013923,-0.0019894639173623574,0.0,0.0,0.0,0.0,0.0,0.5268333333333333,1.0,0.0,0.0
180.0,0.5,-0.9086111425413202,6392.277566576025,-0.0008918545603151529,-0.0026074181149744365,0.0,0.0,0.0,0.0,0.0,0.9238333333333332,1.0,0.0,0.0
180.0,0.75,-0.9087370877676714,6392.283574135228,-0.0010177997866662736,-0.002701402078957495,0.0,0.0,0.0,0.0,0.0,0.9538333333333333,1.0,0.0,0.0
180.0,1.0,-0.9089481323656982,6392.296634650298,-0.001228844384693062,-0.002905724489491398,0.0,0.0,0.0,0.0,0.0,0.9591666666666666,1.0,0.0,0.0
100.0,0.0,-0.9077192879810051,6392.110897518553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100.0,0.25,-0.9080358823787087,6392.17103640159,-0.00031659439770359565,-0.0009408297822204865,0.0,0.0,0.0,0.0,0.0,0.9278333333333334,1.0,0.0,0.0
100.0,0.5,-0.908447304263016,6392.243768892786,-0.0007280162820109126,-0.0020786775505395277,0.0,0.0,0.0,0.0,0.0,0.9255,1.0,0.0,0.0
